,Original,Simplified,Model,Adequacy,Fluency,Simplicity
306,"In the 1980’s construction work was started in order to build a road to the Island of Onkisalo, which has no connection to the mainland. The part of the road (the Kattilaniemi road) which is situated on the mainland, and in the construction of which the applicants also participated, was finished at the end of the 1980’s.","In the 1980âs construction work was started in order to build a road to the Island of Onkisalo, which has no connection to the mainland. The part of the road (the Kattilaniemi road) which is used on the mainland, and in the construction of which the parents also participated, was finished at the end of the 1980âs.",M6,,,
307,"In the 1980’s construction work was started in order to build a road to the Island of Onkisalo, which has no connection to the mainland. The part of the road (the Kattilaniemi road) which is situated on the mainland, and in the construction of which the applicants also participated, was finished at the end of the 1980’s.","In the 1980âs construction work was started in. Order to build a road to the Island of Onkisalo, which has no to the mainland. The part of the road (the Kattilaniemi road) which is used the mainland, and in the of which the parents participated, was finished at the end of the 1980âs.",M7,,,
308,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.",M1,,,
309,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the government asked the Government to use its power under Chapter 7 , Section 16 of the Aliens Act to appeal the court order . By a decision of 5 June 1997 the Government accepted the request .",M2,,,
310,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the government requested the Government to exercise its power under Chapter 7 , Section 16 of the Aliens Act to appeal the court order . By a decision of 5 June 1997 the Government rejected the request .",M3,,,
311,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the applicant asked the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to remove the order. The Government rejected the request on 5 June 1997.",M4,,,
312,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the applicant requested the Government to exert its power under Chapter 7 , Section 16 of the Aliens Act to cancel the ejection order . By a judgement of 5 June 1997 the Government scorned the request .",M5,,,
313,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the father requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to make the return order. By a decision of 5 June 1997 the Government rejected the request.",M6,,,
314,"In April 1997 the applicant requested the Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to annul the expulsion order. By a decision of 5 June 1997 the Government rejected the request.","In April 1997 the father requested the. Government to exercise its power under Chapter 7, Section 16 of the Aliens Act to make the return order. By a decision of 5 June 1997 the Government rejected the request.",M7,,,
315,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”",M1,,,
316,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","“ If the Supreme Court finds that a decision does not provide reasons for holding the decision ruled against and does not require attention to questions of law in the interests of the purpose or application of the law , it may , in giving reasons for its ruling on the matter , limit itself to that finding . ”",M2,,,
317,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","“ If the Supreme Court considers that a complaint does not provide grounds for holding the decision ruled against and does not require answers to questions of law in the interests of the unity or development of the law , it may , in giving reasons for its decision on the matter , limit itself to that finding . ”",M3,,,
318,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","""If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law, it may, in giving reasons for its decision on the matter, limit itself to that finding and not to provide answers to questions of law.",M4,,,
319,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","“ If the Supreme Court sees that a complaint does not provide grounds for altering the judgment quested against and does not require replies to queries of law in the interests of the unity or growth of the law , it may , in giving reasons for its decision on the matter , limit itself to that finding . ”",M5,,,
320,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","âIf the Supreme Court considers that a complaint does not provide grounds for taking the matter made against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.â",M6,,,
321,"“If the Supreme Court considers that a complaint does not provide grounds for overturning the judgment appealed against and does not require answers to questions of law in the interests of the unity or development of the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.”","Âif the Supreme Court considers that a. Complaint does not provide grounds for taking the matter made against and does require answers to questions of law in the interests of the unity or development the law, it may, in giving reasons for its decision on the matter, limit itself to that finding.â",M7,,,
322,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.",M1,,,
323,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The woman is a Greek national , born in 1949 and living in Varkiza in Attika . She is brought before the Court by Mr M. Angelopoulos , a lawyer living in Athens .",M2,,,
324,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The woman is a Greek national , born in 1949 and living in Varkiza in Attika . She is represented before the Court by Mr M. Angelopoulos , a lawyer practising in Athens .",M3,,,
325,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The applicant was born in 1949 and lives in Varkiza in Attika. Mr M. Angelopoulos, a lawyer practising in Athens, is represented before the Court.",M4,,,
326,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The applicant is a Greek national , born in 1949 and living in Varkiza in Attika . She is represented before the Court by Mr M. Angelopoulos , a lawyer practising in Athens .",M5,,,
327,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The woman is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.",M6,,,
328,"The applicant is a Greek national, born in 1949 and living in Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.","The woman is a Greek national, born in 1949 living in. Varkiza in Attika. She is represented before the Court by Mr M. Angelopoulos, a lawyer practising in Athens.",M7,,,
329,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.",M1,,,
330,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first body of law on dress in public schools was a set of rules that was approved by the government on 22 July 1981 , which required staff working for public bodies and companies and staff and faculty at State institutions to have simple , simple , modern dress . The law also provided that female members of staff and staff should not wear clothes in public facilities .",M2,,,
331,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first piece of law on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981 , which required staff working for public bodies and institutions and personnel and students at State institutions to wear ordinary , sober , modern dress . The regulations also provided that female members of staff and students should not wear clothes in educational institutions .",M3,,,
332,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981. The regulations also provided that female members of staff and students should not wear veils in educational institutions, and that staff and students at State institutions should wear ordinary, sober, modern dress.",M4,,,
333,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first piece of legislation on dress in higher-education hospitals was a set of rules that was released by the Cabinet on 22 July 1981 , which required staff working for public bodies and hospitals and staffs and bookmen at State hospitals to wear everyday , sober , modern dress . The rules also provided that female members of staff and bookmen should not wear veils in educational institutions .",M5,,,
334,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first piece of work on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public government and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear anything in educational institutions.",M6,,,
335,"The first piece of legislation on dress in higher-education institutions was a set of regulations that was issued by the Cabinet on 22 July 1981, which required staff working for public organisations and institutions and personnel and students at State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students should not wear veils in educational institutions.","The first piece of work on. Dress in higher-education institutions was a set of regulations that was by the Cabinet on 22 July 1981, which required of issued The regulations working for public government and institutions personnel students State institutions to wear ordinary, sober, modern dress. The regulations also provided that female members of staff and students not wear anything in educational institutions.",M7,,,
336,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.",M1,,,
337,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a trial was held in the case . The court confirmed the amount requested to AS 24,339.80 and requested further reports . The court adjourned the request for the files in all the cases to be released .",M2,,,
338,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a hearing was held in the case . The court limited the amount claimed to AS 24,339.80 and submitted further documentation . The court adjourned the hearing for the files in all parallel cases to be released .",M3,,,
339,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a hearing was held in the case. The applicant submitted further documentation and limited the amount claimed to AS 24,339.80. The court adjourned the hearing for the files to be obtained.",M4,,,
340,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a hearing was held in the case . The applicant limited the amount affirmed to AS 24,339.80 and presented further documentation . The court recessed the proceeding for the files in all parallel proceedings to be received .",M5,,,
341,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a hearing was held in the case. The mother limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel years to be got.",M6,,,
342,"On 12 December 1994 a hearing was held in the case. The applicant limited the amount claimed to AS 24,339.80 and submitted further documentation. The court adjourned the hearing for the files in all parallel proceedings to be obtained.","On 12 December 1994 a. Hearing was held in the case. The mother limited the amount claimed to AS 24,339.80 submitted further documentation. The court adjourned the hearing for the files in all parallel years to be got.",M7,,,
343,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,M1,,,
344,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,On 30 September 2003 the Cologne Court of Appeal ( germany ) dismissed the candidate ’ s claim as invalid on the ground that the defendant had failed to present the case for his dismissal within the normal period of one month . This order was served on the court on 8 October 2003 .,M2,,,
345,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,On 30 September 2003 the Cologne Court of Appeal ( Oberlandesgericht ) rejected the candidate ’ s appeal as valid on the ground that the candidate had failed to submit the grounds for his appeal within the legal time-limit of one month . This decision was served on the court on 8 October 2003 .,M3,,,
346,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,"On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) said that the appeal was not inadmissible, because the applicant had not submitted the reasons for his appeal within the one month allowed by law. The applicant was served with this decision on 8 October 2003.",M4,,,
347,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,On 30 September 2003 the Cologne Court of Appeal ( Oberlandesgericht ) scorned the applicant ’ s appeal as admissible on the ground that the applier had failed to present the grounds for his appeal within the legal time-limit of one month . This judgment was served on the applicant on 8 October 2003 .,M5,,,
348,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the dayâs appeal as new on the ground that the day had failed to submit the grounds for his appeal within the the time-limit of one month. This decision was served on the day on 8 October 2003.,M6,,,
349,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the applicant’s appeal as inadmissible on the ground that the applicant had failed to submit the grounds for his appeal within the statutory time-limit of one month. This decision was served on the applicant on 8 October 2003.,On 30 September 2003 the Cologne Court of Appeal (Oberlandesgericht) rejected the dayâs appeal as new on the ground that the. Day had failed to submit the grounds for his appeal within the the time-limit of one month. This decision was served on the day on 8 October 2003.,M7,,,
350,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,M1,,,
351,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,“ A second-instance court and in a case held in which a second is not after a given date or which is denied on other charges ( ... ) . ”,M2,,,
352,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,“ A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is denied on other grounds ( ... ) . ”,M3,,,
353,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,A second-instance court rejects a cassation appeal after a prescribed time limit or which is inadmissible on other grounds (...) in a hearing held in camera.,M4,,,
354,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,“ A second-instance court rejects in a hearing held in camera a cassation appeal filed after a prescribed time-limit or which is admissible on other grounds ( ... ) . ”,M5,,,
355,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,âA second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is subject on other grounds (...).â,M6,,,
356,“A second-instance court rejects in a hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is inadmissible on other grounds (...).”,Âa second-instance court rejects in a. Hearing held in camera a cassation appeal lodged after a prescribed time-limit or which is subject on other.,M7,,,
357,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.",M1,,,
358,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of people assigned to these courts had already been approximately 170,000 . A further 800 and , whose are were in before the Court , had also to to the board and . Many had had already been awarded for for the some they had and .",M2,,,
359,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of persons applying to these courts had already been approximately 170,000 . A further 800 persons , whose applications were pending before the Court , had also applied to the board and . Many villagers had already been awarded for for the damage they had sustained .",M3,,,
360,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of persons applying to these commissions had already reached approximately 170,000. Many villagers had already been awarded compensation for the damage they had sustained. A further 800 persons had also applied to the compensation commissions.",M4,,,
361,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of individuals applying to these fees had already achieved about 170,000 . A further 800 individuals , whose usages were pending before the Court , had also applied to the recompense commissionings . Many habitants had already been allocated recompense for the harm they had sustained .",M5,,,
362,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of persons applying to these these had already come approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the money these. Many villagers had already been awarded money for the damage they had sustained.",M6,,,
363,"The number of persons applying to these commissions had already attained approximately 170,000. A further 800 persons, whose applications were pending before the Court, had also applied to the compensation commissions. Many villagers had already been awarded compensation for the damage they had sustained.","The number of persons applying to these these had already come approximately 170,000. A further 800 persons, whose Applications were pending of applying A further 800 persons before the Court, had also applied to the money these. Many villagers had already been awarded money for the damage they had sustained.",M7,,,
364,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.",M1,,,
365,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The company was paid GBP 2,000 and ordered to pay GBP 300 costs . At the same time , the editor of the newspaper was arrested and suspended following a “ no ” verdict and SBN itself , which was by that time in bankruptcy , was arrested and charged in its favour following a “ not fair ” trial .",M2,,,
366,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The company was paid GBP 2,000 and ordered to pay GBP 300 costs . At the same trial , the editor of the newspaper was convicted and suspended following a “ guilty ” verdict and SBN itself , which was by that time in bankruptcy , was convicted and charged in its absence following a “ not guilty ” trial .",M3,,,
367,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a ""not guilty"" plea and the editor of the newspaper was convicted and fined following a ""guilty"" plea.",M4,,,
368,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs . At the same trial , the editor of the newspaper was convicted and fined following a “ guilty ” plea and SBN itself , which was by that time in liquidation , was convicted and fined in its absence following a “ not guilty ” plea .",M5,,,
369,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The fine was left GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and left following a âguiltyâ call and SBN itself, which was by that time in business, was convicted and left in its absence following a ânot guiltyâ call.",M6,,,
370,"The applicant was fined GBP 2,000 and ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted and fined following a “guilty” plea and SBN itself, which was by that time in liquidation, was convicted and fined in its absence following a “not guilty” plea.","The. Fine was left GBP 2,000 ordered to pay GBP 300 costs. At the same trial, the editor of the newspaper was convicted left following a âguiltyâ call and SBN itself, was by time itself in business, was convicted and left in absence following a ânot guiltyâ call.",M7,,,
371,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.","In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.",M1,,,
372,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.","In April 2000 the man and his wife married . In a final decision , the Poznan Regional Court awarded both of the parties ’ two-year-old son M. to the mother and allowed the father access to the child three times per month .",M2,,,
373,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.","In April 2000 the man and his wife divorced . In a divorce decision , the Poznan Regional Court awarded custody of the parties ’ two-year-old son M. to the mother and granted the father access to the child three times per month .",M3,,,
374,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.","In April 2000 the applicant and his wife divorced. In a divorce judgment, the court awarded the mother of the applicant's two-year-old son M. custody of the child and allowed the mother to see the child three times a month.",M4,,,
375,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.","In April 2000 the applicant and his wife separated . In a divorcement judgement , the Poznan Regional Court awarded guardianship of the parties ’ two-year-old son M. to the mother and gave the applicant access to the child three times per month .",M5,,,
376,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.","In April 2000 the right and his wife divorced. In a divorce and, the Poznan Regional Court awarded custody of the partiesâ two-year-old son M. to the mother and granted the right access to the child three times per month.",M6,,,
377,"In April 2000 the applicant and his wife divorced. In a divorce judgment, the Poznan Regional Court awarded custody of the parties’ two-year-old son M. to the mother and granted the applicant access to the child three times per month.",In April 2000 the right his wife divorced. In a Divorce the Poznan Regional Court awarded custody of the partiesâ two-year-old son M. to the mother and granted the right access to child three times per month.,M7,,,
378,"In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.","In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.",M1,,,
379,"In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.","In the following two further temporary – of thirty days each – of the defendant ’ s case on land were ordered by the Regional Court on 22 April and 19 May 2004 , simultaneously . Both times the Regional Court based its decision on the reasons given in its judgment of 25 March 2004 .",M2,,,
380,"In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.","In the meantime two further prolongations – of thirty days each – of the defendant ’ s detention on land were ordered by the Regional Court on 22 April and 19 May 2004 , simultaneously . Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004 .",M3,,,
381,"In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.","On 22 April and 19 May 2004, the Regional Court ordered the detention on remand to be extended by thirty days each. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.",M4,,,
382,"In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.","In the meantime two further durations – of thirty days each – of the applicant ’ s detainment on remand were ordered by the Regional Court on 22 April and 19 May 2004 , respectively . Both times the Regional Court based its judgement on the grounds given in its decision of 25 March 2004 .",M5,,,
383,"In the meantime two further prolongations – of thirty days each – of the applicant’s detention on remand were ordered by the Regional Court on 22 April and 19 May 2004, respectively. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.","In the meantime two further prolongations â of thirty days each â of the applicantâs detention on time were ordered by the Regional Court on 22 April and 19 May 2004, and. Both times the Regional Court based its decision on the grounds given in its decision of 25 March 2004.",M6,,,
